,Title,Released,Released - Year,Rated,Rated - Rating,Festival Premiere,Festival Premiere - Name,Star,Star - Wiki,Trailer,Interviews,Soundtrack,Message,Message - Quote,Era,Era - Resistance,Continent,Continent - Name,Codewords,Policy
48,Panther,24,1993,1,R,,,37,https://en.m.wikipedia.org/wiki/Mario_Van_Peebles,,,,,,,,,,,
49,Str8 Outta Compton,2,2015,1,R,,,,,,,,,,,,,,,
50,Birth of a Nation,1,2016,1,R,1,Sundance Film,41,https://en.m.wikipedia.org/wiki/Delroy_Lindo,,,,,,,,,,,
52,Red Hook Summer,5,2012,1,R,,,,,,,,,,,,,,,
56,Next Day Air,10,2007,1,R,,,,,,,,,,,,,,,
58,Big Momma's House,9,2008,1,R,,,,,,,,,,,,,,,
60,Welcome Home Roscoe Jenkins,9,2008,1,R,,,,,,,,,,,,,,,
62,A Haunted House,5,2012,1,R,,,,,,,,,,,,,,,
63,Barbershop,15,2002,1,R,,,,,,,,,,,,,,,
64,Barbershop 2: Back in Business,13,2004,1,R,,,,,,,,,,,,,,,
65,Barbershop: The Next Cut,1,2016,1,R,,,,,,,,,,,,,,,
69,Think Like a Man 2,2,2015,1,R,,,,,,,,,,,,,,,
70,Why Did I Get Married Too,5,2012,1,R,,,,,,,,,,,,,,,
71,Friday,22,1995,1,R,,,71,https://en.m.wikipedia.org/wiki/Chris_Tucker,,,,,,,,,,,
72,Don't be a Menace,22,1995,1,R,,,,,,,,,,,,,,,
73,Love Jones,20,1997,1,R,,,6,https://en.m.wikipedia.org/wiki/Larenz_Tate,,,,,,,,,,,
75,Next Friday,18,1999,1,R,,,,,,,,,,,,,,,
76,Higher Learning,19,1998,1,R,,,,,,,,,,,,,,,
77,Do the Right Thing,28,1989,1,R,,,,,,,,,,,,,,,
78,School Daze,27,1990,1,R,,,,,,,,,,,,,,,
79,Coming to America,25,1992,1,R,,,,,,,,,,,,,,,
80,Harlem Nights,27,1990,1,R,,,,,,,,,,,,,,,
81,American Gangster,9,2008,1,R,,,,,,,,,,,,,,,
82,Training Day,13,2004,1,R,,,,,,,,,,,,,,,
83,Blue Hill Avenue,14,2003,1,R,,,,,,,,,,,,,,,
84,How High,14,2003,1,R,,,,,,,,,,,,,,,
85,I Got the Hook Up,18,1999,1,R,,,,,,,,,,,,,,,
87,Big Momma's House,15,2002,1,R,,,,,,,,,,,,,,,
88,Cry Freedom,30,1987,1,R,,,122,https://en.m.wikipedia.org/wiki/Denzel_Washington,,,,,,6,Steve Biko,1,Africa,,
89,The Hurricane,18,1999,1,R,,,,,,,,,,,,,,,
101,Ali,15,2002,1,R,,,103,https://en.m.wikipedia.org/wiki/Will_Smith,,,,113,"His name shall be forever;
His name shall continue before the sun;
and they shall bless themselves by Him;
all nations shall call Him blessed.",,,,,,
